user_id,user_name,user_review_count,average_stars,user_elite_count,user_fans,business_id,biz_name,biz_stars,categories,biz_attributes_clean,stars_review,text,date
3MpDvy5gEdsbZh9-p92dHg,Cassie,621,3.67,14,38,8QnuWGVNBhzyYXGSeRdi4g,Sweet Cece's,3.5,"Food, Ice Cream & Frozen Yogurt","WiFi: u'no', BikeParking: True, BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, BusinessAcceptsCreditCards: True, RestaurantsPriceRange2: 2",4.0,"After my ROTD  yesterday of a different Sweet CeCe's location, I realized that I had never reviewed my local source!  Anyway, I love the product.  Love love love.  And I usually like their selection of toppings - good mix between healthy and not-so-healthy.  Sometimes the girls working there aren't really paying attention or are nowhere to be found.  Sometimes you have to remind them of their deals (like $5 Friday).  But I can't give it less than 4 stars because I just love it so much.",2013-10-24 19:24:33
IKbjLnfBQtEyVzEu8CuOLg,Erica,800,3.87,7,64,VJEzpfLs_Jnzgqh5A_FVTg,Jasmine Rice - Rittenhouse,3.5,"Soup, Thai, Restaurants, Salad","RestaurantsPriceRange2: 2, RestaurantsAttire: u'casual', BusinessAcceptsCreditCards: True, HasTV: False, RestaurantsTakeOut: True, Alcohol: u'none', RestaurantsReservations: True, OutdoorSeating: True, WiFi: u'no', BikeParking: True, BusinessParking: {'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}, GoodForKids: True, Caters: True, RestaurantsGoodForGroups: True, NoiseLevel: u'average', Ambience: {'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': None, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}, BusinessAcceptsBitcoin: False, RestaurantsDelivery: True, GoodForMeal: {u'breakfast': False, u'brunch': False, u'lunch': None, u'dinner': True, u'latenight': False, u'dessert': False}",4.0,"It was my fiance's birthday and he decided he wanted a good, laid back Thai restaurant for dinner. Yelp steered us in the Jasmine Rice direction, and it was definitely a good decision. We wanted the summer rolls, which were on the menu, but apparently will not be available until summer, so we settled on the pan-fried dumplings. The flavor was good, but I don't think we'd order them again. We got the green curry fried rice with duck and chicken pad thai. Both of those dishes were great, but the duck stole the show. That was some the of tastiest duck I've ever had. The pad thai was a bit sweet for us, so I think we'd try a different noodle dish when we return. But it was still very good, especially with some chili sauce mixed in. Our service was good, but other people had issues. One table was rushing to get to a show at the Kimmel Center and waited quite a while for their meal (and were going to be late). Another person who got take-out was missing one of their items (but the owner realized it and called him and walked the dish to his house, which was very nice). Overall, good quality Thai! We would definitely go back.",2014-04-01 13:05:18
NUtIAX-ygn474tDg5nmesg,Eunni,234,3.65,2,18,6LCZLGa09Qifn6rG7-DNrg,Erawan Thai Cuisine,3.5,"Thai, Restaurants","RestaurantsGoodForGroups: True, HasTV: False, NoiseLevel: u'quiet', Alcohol: u'none', Ambience: {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}, RestaurantsPriceRange2: 2, BikeParking: True, RestaurantsReservations: True, BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, Caters: True, BusinessAcceptsBitcoin: False, RestaurantsTakeOut: True, RestaurantsDelivery: True, GoodForKids: True, BusinessAcceptsCreditCards: True, WiFi: u'free', OutdoorSeating: False, RestaurantsAttire: u'casual'",4.0,"My go to menu is coconut soup and pad thai with protein. I tried same menu here. 
Actually really like their coconut soup. They used enough amount of coconut milk that soup was really creamy and wasn't over powering with herb. I am so used to Americanized thai cuisine that I prefer less herb on my dish except cilantro.
Pat thai was great too. Liked the amount of peanut they used, noodle was chewy and perfect and not too sweet. They gave me generous amount of chicken and white meat wasn't dry so I was very happy with my meal.",2015-02-16 07:20:16
uAu772KpSkb-tPFgZmU-lA,Susanne,286,3.89,7,18,2GYg3liJ9-m6Z67L_4_BRQ,Weavers Way Co-Op,4.5,"Pets, Cheese Shops, Health Markets, Grocery, Food, Specialty Food","BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, BusinessAcceptsCreditCards: True, RestaurantsPriceRange2: 2, BikeParking: True, RestaurantsTakeOut: True, WheelchairAccessible: True, Caters: True, RestaurantsDelivery: True",5.0,"I LOVE Weaver's Way and really disagree with some of the content in previous reviews. WW is not necessarily meant for convenience shopping. I am a single woman and I find that I have no trouble shopping at the co-op, during peak times or otherwise. I actually find the co-op to be a great place to shop if you live alone because I can get smaller quantities of items than if I shop at the corporate stores like Acme. I also enjoy the work hours - I've worked throughout the store, but most recently, I have been getting in my hours by participating in the membership committee. I wouldn't say that the community is necessarily made up of ""tree huggers"" and ""earth children"", though. The community is made up of a variety of similarly-minded folks from different backgrounds. I enjoy having a place to go to where I can obtain locally grown produce, a place that offers more natural, wholesome, and preservative-free foods than chain stores with prices way below that of Whole Foods. I enjoy interacting with other members and contributing to my local and global community. I don't find the membership fee or the work hours to be prohibitive being a single person vs. a family. I don't think that membership in a co-op is for everyone and, if you aren't single, it's definitely not a solo decision. If you're keen on being committed to the Weaver Way values, you couldn't find a better place to shop. If not, stick to the chain stores or just pay the 10% visitors' fee to pop in once in a while.",2008-12-03 04:13:43
pYXeL0RCqus2IfhthYCOyA,Debbi,193,4.26,2,11,W7NxQw8UYFR0HLPrI08tvw,Chipotle Mexican Grill,3.0,"Restaurants, Fast Food, Mexican","RestaurantsPriceRange2: 1, GoodForKids: True, Caters: True, RestaurantsGoodForGroups: True, Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': True}, OutdoorSeating: True, BusinessAcceptsCreditCards: True, BikeParking: True, RestaurantsReservations: False, WiFi: u'no', RestaurantsAttire: 'casual', NoiseLevel: u'average', Alcohol: 'beer_and_wine', BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, RestaurantsTakeOut: True, HasTV: True, DriveThru: False, GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}, RestaurantsDelivery: True",4.0,"Don't know what it is but If my tummy's feeling icky, I can count on Chipotle's stake to fix me up. I just have to remember not to go during full on lunch time. I usually go between 2 & 4 when it's peaceful and calm. Busy or not the service is always friendly and fast!",2012-02-01 14:21:25
Cvi8nZTwDVaQkqmmgQwQMw,Diana,320,4.05,6,28,D4DZztR7vkbiED6txGUYFg,Red Kings 2 Restaurant,3.5,"Nightlife, Karaoke, Food, Szechuan, Chinese, Restaurants","WiFi: u'free', BikeParking: False, RestaurantsTakeOut: True, RestaurantsPriceRange2: 2, Caters: False, RestaurantsReservations: True, RestaurantsGoodForGroups: True, HasTV: True, RestaurantsAttire: u'casual', BusinessAcceptsCreditCards: True, GoodForKids: True, Alcohol: u'beer_and_wine', OutdoorSeating: False, NoiseLevel: u'average', BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, BestNights: {'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': True, 'saturday': False}, GoodForMeal: {'dessert': False, 'latenight': True, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}, RestaurantsDelivery: None, Ambience: {'touristy': False, 'hipster': False, 'romantic': False, 'divey': None, 'intimate': False, 'trendy': None, 'upscale': False, 'classy': False, 'casual': True}, BusinessAcceptsBitcoin: False, Music: {'dj': None, 'background_music': False, 'no_music': False, 'jukebox': None, 'live': False, 'video': False, 'karaoke': True}",4.0,"Looks like there is a second Red Kings restaurant in Chinatown and it did not disappoint! Since this place just opened yesterday, I'm not exactly sure if it's replacing the other Red Kings down the street, or if it is just a second helping of spicy, Szechuan food.

We ordered takeout and picked up the Dan Dan Noodles and a shredded Pork in Garlic sauce dish. The spice level in both dishes was perfect.  Extremely mouth-burning, but with delicious flavors that were sweet, earthy, and fresh. The portions were very generous and will make for great leftovers for us. I can't wait to try some of the other dishes and come back here for a sit-down dinner. They also have karaoke rooms upstairs, plus they are BYOB.",2013-06-24 13:15:21
0Igx-a1wAstiBDerGxXk2A,Jen,2733,4.06,14,200,actDmpJyaQPnkds6knMdKA,The Green Project,4.5,"Hardware Stores, Recycling Center, Home Services, Local Services, Shopping, Building Supplies, Community Service/Non-Profit, Thrift Stores, Home & Garden","RestaurantsPriceRange2: 1, BikeParking: True, BusinessAcceptsCreditCards: True, ByAppointmentOnly: False, BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",5.0,"Say you decide that you need a new door...and you only have $35.  Where do you go?  the Green Project. 

Or you have a bunch of left over building supplies, random bits of lumber, some roofing materials, maybe even some paint?  Where can you bring it so it doesn't end up in a landfill?  Again, the Green Project.",2009-03-01 05:30:45
amIUTkKQlA4464-lJlwlaQ,Cathy,115,4.24,4,13,oRZzKWdyMQld6N_y4UWkAg,Terra Sur Cafe,4.0,"Latin American, Restaurants, Peruvian, Seafood","RestaurantsAttire: u'casual', RestaurantsDelivery: True, GoodForKids: True, RestaurantsGoodForGroups: True, Alcohol: u'beer_and_wine', BusinessAcceptsCreditCards: True, RestaurantsTakeOut: True, RestaurantsReservations: False, RestaurantsPriceRange2: 2, Caters: True, BikeParking: True, HasTV: False, WiFi: u'no', NoiseLevel: u'average', BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, RestaurantsTableService: True, BusinessAcceptsBitcoin: False, DogsAllowed: False, GoodForMeal: {'dessert': None, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}, OutdoorSeating: None, Ambience: {'touristy': False, 'hipster': False, 'romantic': True, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",4.0,"Cinco de mayo means margaritas and sangria and all things fried... this great place does a nice job with combining flavors of several different ethnicities and backgrounds and develops recipes that are unique.  Although not touted as a ""Mexican"" destination they know how to rock the rock salt and pour that tequila.  They also just opened a wine bar a couple doors down for overflow and specialty bottles.  A high five for the on the rocks margaritas and house made white or red sangria - definitely worth the trip!",2013-05-07 16:54:19
CysTz612pTix75Fye6-D4Q,John,44,2.45,0,1,WLiqfxv_GhFFA5sm878a2w,Wei Asian Cafe,4.0,"Chinese, Restaurants","Alcohol: u'beer_and_wine', RestaurantsPriceRange2: 2, GoodForKids: True, WiFi: u'no', RestaurantsAttire: u'casual', BusinessAcceptsCreditCards: True, RestaurantsTakeOut: True, OutdoorSeating: False, HasTV: True, BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}, RestaurantsDelivery: True, RestaurantsReservations: False, BikeParking: True, Caters: False, NoiseLevel: u'quiet', RestaurantsGoodForGroups: True, GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}, Ambience: {u'divey': False, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': False, u'intimate': None, u'romantic': False, u'classy': False, u'upscale': False}",5.0,Blew $80 on food for the family was worth it food was hot and orange chicken best I've tasted in a awhile..now it will be the place we get Asian food!!,2013-12-29 03:15:34
n-lBS02-3yvlY5Q91mmwDA,Zachary,353,3.65,3,27,2S_CEQYBbp8RO1bJm_1mng,The Saint,4.0,"Nightlife, Dive Bars, Bars","Alcohol: u'full_bar', OutdoorSeating: True, RestaurantsGoodForGroups: True, BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}, BusinessAcceptsCreditCards: True, RestaurantsPriceRange2: 1, NoiseLevel: u'very_loud', HasTV: True, BikeParking: True, Ambience: {'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': True, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}, HappyHour: True, WiFi: 'free', Music: {'dj': True, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}, RestaurantsReservations: False, BestNights: {'monday': True, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}",2.0,"Hipsters unite!  I've never had a good time at The Taint, despite several people's attempts top tell me otherwise.  I'm not impressed by the apathy here, or the dirty-headed Garden District crapfest of regular clientele.  Boo.",2005-07-10 17:20:44
